ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_habitable,Meublé,Surface_du_séjour,Caves,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Pompe_à_chaleur,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Attestation__Installation_électrique,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Jardin,Orientation_du_jardin,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Affectation_urbanistique_la_plus_récente,Disponibilité_du_bien,Air_conditionné,Alarme_antieffraction,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Asbuilt,Raccordé_au_gaz_de_ville,Nombre_détages_de_limmeuble,Surface_chambre_à_coucher_4,Nombre_de_douches,Chauffage_au_sol,Surface_du_jardin,Citerne_à_eau_de_pluie,Emission_de_CO2,Espace_ouvert_sensible_à_leau__WORG,Conso_annuelle_totale_dénergie_primaire,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Surface_constructible,Attestation__Citernes_à_mazout,Compteur_électrique_individuel,Compteur_deau_individuel,Niveau_E,Niveau_K,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Compteur_Bihoraire,Appartement_de_service,Surface_du_bureau,Surface_du_grenier,Surface_du_garage,Profondeur_du_terrain,Niveau_S,Possibilités_pour_profession_libérale,Attestation__Installation_électrique__Validité,Surface_des_caves,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Adoucisseur_deau,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_totale,Compteur_de_gaz_individuel,Surface_salle_à_manger,Porte_de_garage_motorisée,Clef_électronique,Surface_du_dressing
https://immovlan.be/fr/detail/appartement/a-vendre/9940/sleidinge/rbt72221,RBT72221,Appartement à vendre,310000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,1,10 m²,75 m²,Non,20 m²,Oui,Oui,1,Super équipée,12 m²,1,1,5 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,1,Est,2,6 m,1,Oui,17 m²,Sud,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/sleidinge/rbt72220,RBT72220,Rez-de-chaussée à vendre,385000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,2,12 m²,103 m²,Non,30 m²,Oui,Oui,1,Super équipée,15 m²,1,2,4 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Est,2,5 m,1,Oui,21 m²,Nord,5 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/sleidinge/rbt72219,RBT72219,Appartement à vendre,315000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,2,10 m²,75 m²,Non,21 m²,Oui,Oui,1,Super équipée,11 m²,1,1,5 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,2,Est,2,6 m,1,Oui,17 m²,Sud,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/sleidinge/rbt72218,RBT72218,Rez-de-chaussée à vendre,385000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,2,12 m²,103 m²,Non,30 m²,Oui,Oui,1,Super équipée,15 m²,1,2,4 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Est,2,5 m,1,Oui,36 m²,Nord-ouest,5 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/sleidinge/rbt72217,RBT72217,Rez-de-chaussée à vendre,435000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,3,14 m²,146 m²,Non,33 m²,Oui,Oui,1,Super équipée,16 m²,1,2,9 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Nord,2,8 m,1,Oui,29 m²,Ouest,8 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,14 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/sleidinge/rbt72216,RBT72216,Appartement à vendre,395000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,2,14 m²,113 m²,Non,40 m²,Oui,Oui,1,Super équipée,8 m²,1,1,5 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,1,Est,2,6 m,1,Oui,9 m²,Est,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/sleidinge/rbt72215,RBT72215,Rez-de-chaussée à vendre,300000,Sleidinge-Dorp 33-41,9940 Sleidinge,Nouveau,Non,2025,1,10 m²,80 m²,Non,23 m²,Oui,Oui,1,Super équipée,12 m²,1,1,4 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Est,2,6 m,1,Oui,15 m²,Nord,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/sleidinge/rbt48037,RBT48037,Maison à vendre,529000,Sanderuslaan 82,9940 Sleidinge,À rénover,Non,1956,3,,523 m²,,,Non,,,,,1,,,,,,,,,,,,4,,,,,,,,,,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Oui,Non,Oui,Sud-ouest,686 m²,346 kWh/m²/an,20230917-0002991120-RES-1,17/09/2033,Oui,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/sleidinge/rbt44142,RBT44142,Maison à vendre,510000,Langendam 29 b,9940 Sleidinge,,Non,1987,6,,241 m²,,,Non,Oui,2,,,,2,,Oui,Mazout,,Double vitrage,,Non,Oui,,,4,,4,Oui,15 m²,,,,,Non,,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Non,Non,Oui,,1039 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",A l’acte,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/sleidinge/rbt27039,RBT27039,Maison à vendre,475000,Polenstraat 165,9940 Sleidinge,Excellent,Non,1930,2,,323 m²,,,Non,Oui,2,,,1,1,,Oui,,Oui,,,,,,,4,,,,,,,,Oui,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Non,Non,Oui,,597 m²,,20231207-0003055391-KNR-1,07/12/2033,Oui,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/kluizen/rbt68851,RBT68851,Appartement à vendre,349500,Kluizendorpstraat 58 102,9940 Kluizen,Nouveau,Non,2024,2,,88 m²,Non,,Non,,,,,1,1,,,Electrique,Oui,,,Oui,,1,Sud-est,2,,,Oui,21 m²,,,,Oui,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/kluizen/rbt68850,RBT68850,Appartement à vendre,385500,Kluizendorpstraat 58 201,9940 Kluizen,Nouveau,Non,2024,3,,137 m²,Non,,Non,,,,,1,1,,,Electrique,Oui,,,Oui,,2,Sud-est,2,,,Oui,6 m²,,,,Oui,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,Oui,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/kluizen/rbt68849,RBT68849,Appartement à vendre,367500,Kluizendorpstraat 58 101,9940 Kluizen,Nouveau,Non,2024,2,,99 m²,Non,,Non,,,,,1,1,,,Electrique,Oui,,,Oui,,1,Sud-est,2,,,Oui,21 m²,,,,Oui,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67762,RBT67762,Maison à vendre,453000,Korianderstraat 9,9940 Evergem,Nouveau,Non,,4,,209 m²,,,Non,Oui,1,,,,,,Oui,,Oui,Double vitrage,,,,,,3,,,Oui,,,,,Oui,Non,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,Oui,Nord-ouest,308 m²,99 kWh/m²/an,,,,,"Zone, info non disponible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67760,RBT67760,Maison à vendre,445000,Korianderstraat 9,9940 Evergem,Nouveau,,,4,,193 m²,,,,Oui,,,,,,,Oui,,Oui,Double vitrage,,,,,,3,,,Oui,,,,,Oui,,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Oui,Nord-ouest,280 m²,99 kWh/m²/an,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt72943,RBT72943,Maison à vendre,493390,Maagdekensstraat 51 (lot 5),9940 Evergem,Nouveau,Non,2025,4,12 m²,148 m²,Non,31 m²,,,,Super équipée,,1,2,,,,,Double vitrage,,Non,Non,,Est,3,,2,Oui,23 m²,,,Oui,Oui,Non,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,12 m²,9 m²,,,,,,,Oui,Ouest,535 m²,,,,Oui,Oui,,A l’acte,,,,Non,,,,2,9 m²,1,Oui,332 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt72311,RBT72311,Maison à vendre,495000,Heerweg 21,9940 Evergem,Normal,Non,2011,3,12 m²,243 m²,Non,35 m²,,Oui,1,,,1,2,,,Gaz,,Double vitrage,Oui,Non,Non,,,4,,2,Oui,28 m²,,,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,19 m²,12 m²,Oui,,,,,,Oui,,365 m²,123 kWh/m²/an,,10/06/2035,Oui,Oui,Zone d'extension d'habitat,A l’acte,,,,Non,,,Oui,3,,1,,140 m²,Oui,5832,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt72232,RBT72232,Maison à vendre,445000,Boutstraat 48,9940 Evergem,Normal,Oui,2014,3,12 m²,146 m²,,,,Oui,1,,,1,2,,,Gaz,,Double vitrage,,Non,Non,,,3,,2,Oui,,,,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,10 m²,10 m²,Oui,,,,,,Oui,,330 m²,142 kWh/m²/an,,12/05/2035,Oui,Oui,Zone d'extension d'habitat,A l’acte,,,,Non,,,Oui,2,,1,,180 m²,Oui,37,Non,142 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/evergem/rbt72230,RBT72230,Rez-de-chaussée à vendre,385000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,2,12 m²,103 m²,Non,30 m²,Oui,Oui,1,Super équipée,15 m²,1,2,4 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Est,2,5 m,1,Oui,36 m²,Nord-ouest,5 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/evergem/rbt72229,RBT72229,Appartement à vendre,315000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,2,10 m²,75 m²,Non,21 m²,Oui,Oui,1,Super équipée,11 m²,1,1,5 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,2,Est,2,6 m,1,Oui,17 m²,Sud,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/evergem/rbt72227,RBT72227,Appartement à vendre,395000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,2,14 m²,113 m²,Non,40 m²,Oui,Oui,1,Super équipée,8 m²,1,1,5 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,1,Est,2,6 m,1,Oui,9 m²,Est,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/evergem/rbt72226,RBT72226,Rez-de-chaussée à vendre,435000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,3,14 m²,146 m²,Non,33 m²,Oui,Oui,1,Super équipée,16 m²,1,2,9 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Nord,2,8 m,1,Oui,29 m²,Ouest,8 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,14 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/evergem/rbt72225,RBT72225,Appartement à vendre,310000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,1,10 m²,75 m²,Non,20 m²,Oui,Oui,1,Super équipée,12 m²,1,1,5 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,1,Est,2,6 m,1,Oui,17 m²,Sud,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/evergem/rbt72224,RBT72224,Rez-de-chaussée à vendre,385000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,2,12 m²,103 m²,Non,30 m²,Oui,Oui,1,Super équipée,15 m²,1,2,4 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Est,2,5 m,1,Oui,21 m²,Nord,5 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/9940/evergem/rbt72223,RBT72223,Rez-de-chaussée à vendre,300000,Sleidinge-Dorp 33-41,9940 Evergem,Nouveau,Non,2025,1,10 m²,80 m²,Non,23 m²,Oui,Oui,1,Super équipée,12 m²,1,1,4 m²,Oui,Air pulsé,Oui,Double vitrage,Oui,Oui,Non,0,Est,2,6 m,1,Oui,15 m²,Nord,6 m,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/9940/evergem/rbt72180,RBT72180,Bungalow à vendre,335000,Molenstraat 45,9940 Evergem,,Non,1986,2,,127 m²,,,Non,Oui,1,,,,,,,Electrique,,Double vitrage,,Non,Non,,Sud,2,,2,,,,,,,Non,,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Non,Non,Oui,,930 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9940/evergem/rbt71726,RBT71726,Villa à vendre,1195000,Belzeelsestraat 34,9940 Evergem,,Non,1936,4,,411 m²,,,Non,Oui,1,,,1,2,,Oui,Mazout,,Double vitrage,,,,,,,,,Oui,,,,,,Oui,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Oui,Non,Oui,Nord-ouest,4503 m²,283 kWh/m²/an,3010004,10/10/2033,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt71622,RBT71622,Maison à vendre,249000,Stoepestraat 24,9940 Evergem,À rénover,Non,1970,2,,162 m²,,,Non,Oui,1,,,1,1,,,Mazout,,Simple vitrage,,,,,,2,,,Oui,,,,,Oui,Non,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Oui,Non,Oui,Sud-est,287 m²,816 kWh/m²/an,20250607-0003620092-RES-1,04/06/2035,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/ertvelde/rbt70687,RBT70687,Maison à vendre,360000,Riemewegel 39 E,9940 Ertvelde,Normal,Non,2009,3,,,Non,,Non,Oui,1,,,1,2,,Oui,Gaz,,,,Non,,,Nord-ouest,2,,2,Oui,,,,,Oui,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Non,Non,Oui,,279 m²,100 kWh/m²/an,20250602-0003611365-RES-1,,,,"Zone d'habitat (résidentiel, urbain ou rural)",A l’acte,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/evergem/rbt69872,RBT69872,Appartement à vendre,329000,Bibliotheekstraat 9b/103,9940 Evergem,,Non,,2,,99 m²,Non,,Non,,,,,1,1,,,Non specifié,,,,Non,,,,,,,Oui,9 m²,,,,,,pas d'application,,,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,Non,,,,87 kWh/m²/an,44019-G-2013_514/EP16386/A001/D01/SD004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt68709,RBT68709,Maison à vendre,395000,Vlierboomstraat 26,9940 Evergem,Normal,Non,1996,3,,205 m²,Non,,Non,Oui,1,,,1,2,,Oui,Electrique,,,Non,,,,,,,1,,,,,Oui,Oui,Non,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,Oui,Non,Non,Non,Non,Non,Oui,,282 m²,272 kWh/m²/an,20250416-0003579791,,,,"Zone d'habitat (résidentiel, urbain ou rural)",A l’acte,,Non,,Non,,,Non,,,,Non,184 m²,,,,,Non,Non,Non,98 m²,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67761,RBT67761,Maison à vendre,445000,Korianderstraat 9,9940 Evergem,Nouveau,,,4,,193 m²,,,,Oui,,,,,,,Oui,,Oui,Double vitrage,,,,,,3,,,Oui,,,,,Oui,,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Oui,Nord-ouest,280 m²,99 kWh/m²/an,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67759,RBT67759,Maison à vendre,448000,Korianderstraat 9,9940 Evergem,Nouveau,,,4,,193 m²,,,,Oui,,,,,,,Oui,,Oui,Double vitrage,,,,,,3,,,Oui,,,,,Oui,,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Oui,Nord-ouest,325 m²,99 kWh/m²/an,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67758,RBT67758,Maison à vendre,458000,Korianderstraat 9,9940 Evergem,Nouveau,,,4,,209 m²,,,,Oui,1,,,,,,Oui,,Oui,Double vitrage,,,,,,3,,,Oui,,,,,Oui,,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Oui,Sud-est,315 m²,99 kWh/m²/an,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67757,RBT67757,Maison à vendre,458000,Korianderstraat 9,9940 Evergem,Nouveau,Non,,4,,193 m²,,,Non,Oui,,,,,,,Oui,,Oui,Double vitrage,,,,,,3,,,Oui,,,,,Oui,Non,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,Oui,Sud-est,305 m²,99 kWh/m²/an,,,,,"Zone, info non disponible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67832,RBT67832,Maison à vendre,439000,Vijf Ringen 22,9940 Evergem,Excellent,Non,2009,3,,173 m²,Non,,Non,Oui,1,,,1,2,,Oui,Gaz,,Double vitrage,Non,,,,Sud,,,1,Oui,,,,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,Non,Non,Non,Non,Non,Oui,,282 m²,117 kWh/m²/an,20250416-0003579553-RES-1,,,,"Zone d'habitat (résidentiel, urbain ou rural)",A l’acte,,Non,,Non,,,Oui,,,,Non,109 m²,,,,,Non,Non,Non,97 m²,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67756,RBT67756,Maison à vendre,550000,Korianderstraat 9,9940 Evergem,Nouveau,Non,,4,,197 m²,,,Non,Oui,,,,,,,Oui,,Oui,Double vitrage,,,,,,4,,,Oui,,,,,Oui,Non,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,Oui,Sud-est,468 m²,99 kWh/m²/an,,,,,"Zone, info non disponible",,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9940/evergem/rbt67285,RBT67285,Maison à vendre,320000,Pastorijstraat 7,9940 Evergem,,Non,1951,4,,,,,Non,Oui,2,,,,,,,,,,,Non,Non,,,2,,,,,,,,,Non,,,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,Non,Non,Non,,,552 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",A l’acte,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
